rid,rating
1,??
2,??
3,??
4,??
5,??
6,??
7,??
8,4
9,3.2
10,3.1
11,3.6
12,??
13,4.4
14,4.3
15,4.3
16,4.3
17,4.2
18,3.1
19,4
20,3.3
21,3.2
22,3.5
23,3.7
24,3.7
25,3.7
26,4.3
27,3.7
28,3.8
29,4.2
30,3.8
31,4.1
32,3.5
33,4.8
34,3.7
35,3.8
36,3.2
37,3.6
38,3.2
39,3.5
40,2.7
41,3.5
42,4.2
43,3.4
44,3.2
45,3.4
46,2.7
47,2.6
48,3.5
49,4.1
50,3.8
51,3.3
52,4.2
53,3.7
54,4.1
55,3.7
56,3.7
57,3.6
58,3.7
59,3.9
60,3.4
61,4.3
62,3.7
63,3.7
64,4
65,4.2
66,4
67,3.8
68,4
69,4
70,3.9
71,4.2
72,4.2
73,4.6
74,3.4
75,4.5
76,4.4
77,4.2
78,4
79,4.3
80,4
81,5
82,4.4
83,4.2
84,4.2
85,4.1
86,4.6
87,4.7
88,3.5
89,4.6
90,4.2
91,4
92,3.9
93,3.9
94,3.8
95,4.4
96,3.7
97,3
98,4.3
99,4.1
100,4.1
101,4.2
102,4.1
103,4.1
104,3
105,??
106,4.3
107,4
108,4.4
109,4.1
110,4.3
111,4.3
112,4.6
113,4
114,1.8
115,4
116,4.4
117,4.2
118,4.1
119,4.1
120,4.1
121,4.3
122,4.3
123,4.1
124,4
125,4.5
126,??
127,4.2
128,4.3
129,3.9
130,4.2
131,4.2
132,3.9
133,4.6
134,4.3
135,4.1
136,4
137,4.3
138,3.8
139,4.1
140,3.2
141,4.1
142,4.1
143,4.2
144,4.5
145,4.5
146,3.9
147,4.4
148,4
149,3.9
150,4.1
151,4.2
152,4.2
153,4.6
154,4.2
155,4.8
156,3.7
157,4.2
158,3.9
159,4.5
160,4.3
161,4.2
162,4.3
163,4.2
164,4
165,3.9
166,3.3
167,3.9
168,4.3
169,4
170,3.9
171,3.4
172,4.4
173,4.1
174,4.5
175,4.4
176,4.5
177,4.8
178,3.6
179,??
180,3.6
181,4.3
182,3.5
183,3.8
184,4
185,4.4
186,3.8
187,4
188,4.1
189,3.9
190,3.5
191,4.6
192,4
193,2.9
194,4.5
195,4.1
196,4.2
197,4.6
198,4
199,4
200,3.9
201,3.5
202,3.8
203,3.8
204,4.1
205,4
206,5
207,4
208,4.5
209,3.3
210,4.2
211,4.3
212,5
213,3.6
214,4
215,4.2
216,3.8
217,3.1
218,??
219,??
220,4.1
221,3.8
222,3.7
223,3.9
224,4.6
225,4.3
226,4.1
227,5
228,3.9
229,4.2
230,4.1
231,4.1
232,3.9
233,4.1
234,4.1
235,4.1
236,4.1
237,4.1
238,4
239,4.1
240,4.1
241,4
242,3.8
243,3.9
244,3.7
245,3.8
246,3.9
247,??
248,??
249,4
250,4
251,4
252,4.1
253,4.2
254,4.4
255,4.3
256,4.3
257,4.2
258,4.2
259,3.7
260,3.7
261,3.7
262,3.8
263,4
264,3.8
265,3.7
266,3.8
267,3.8
268,3.8
269,4.2
270,3.8
271,3.9
272,3.9
273,4
274,4
275,3.6
276,3.4
277,4.1
278,3.9
279,3.7
280,3.8
281,3.3
282,4.3
283,4
284,3.7
285,3.5
286,3.5
287,4.1
288,4
289,3.8
290,4.3
291,4.3
292,4.3
293,4.2
294,4
295,4.4
296,4.1
297,4.2
298,4.1
299,4.1
300,3.6
301,3.7
302,??
303,4
304,4.2
305,4.1
306,4.1
307,3.9
308,3.9
309,4.1
310,4
311,4.1
312,4.1
313,4.1
314,4.1
315,4.1
316,4
317,4.1
318,4.1
319,3.2
320,3.8
