rid,name,area,address,phone no.,opening hours
1,芎林鹿寮坑鍾家伙房,新竹,新竹縣芎林鄉華龍村2鄰214號,無,無
2,旭陽高爾夫球場,新竹,新竹縣關西鎮南新里新城段100號,03-547-6168,05:00–18:30
3,靈感抽水車,新竹,新竹縣橫山鄉橫山村橫山路97號,無,無
4,尖石岩,新竹,新竹縣尖石鄉嘉樂村2鄰36號,無,無
5,北埔冷泉,新竹,新竹縣北埔鄉內大坪,無,無
6,新寶觀光果園,新竹,新竹縣新埔鎮寶石里2鄰文德路202巷58號,03-588-9888,無
7,竹北泉州厝汾陽堂,新竹,新竹縣竹北市斗崙里文興路107號,無,無
8,八五山老劉果園,新竹,新竹縣尖石鄉新樂村8 鄰40 號,03-584-1169,無
9,即溶燒仙草，天然古早味【農業好伴手1．關西鎮農會之旅】,新竹,新竹縣關西鎮農會,03-587-1999,無
10,六福村主題遊樂園,新竹,新竹縣關西鎮仁安里拱子溝60號,03-547-5665,9：00~17：00
11,新埔朱氏家廟,新竹,新竹縣新埔鎮和平街158號,無,無
12,湖口老街,新竹,新竹縣湖口鄉湖鏡村湖口老街,無,無
13,觀霧森林遊樂區,新竹,新竹縣五峰鄉122縣道往大鹿林道,03-521-8853,08:00~17:00(務必提前離開園區，且山上嚴禁露營與炊煮) 
14,竹東林業展示館,新竹,新竹縣竹東鎮東林路141 號,03-595-2012,週二至週09:00~12:00 ， 13:00~17:00；周一公休
15,劉家庄燜雞,新竹,新竹縣新埔鎮照門里九芎湖6鄰16-2號,03-589-0709,09:00–19:00
16,福明新農場,新竹,新竹縣新埔鎮照門里箭竹窩3鄰11號,03-589-9365,平日08:00~17:00 假日07:00~20:00（平日DIY活動需先預約）
17,梨村農場,新竹,新竹縣新埔鎮南平里南平路667巷,03-588-2955,平日：08：00～17：00，產季中無休。假日：08：00～18：00
18,新埔褒忠亭,新竹,新竹縣新埔鎮下寮里義民路3段360號,無,無
19,典藏、風華,新竹,新竹縣竹北市縣政九路146號,無,無
20,桃山隧道,新竹,新竹縣五峰鄉 122線道南清公路,無,無
21,華洲園偶戲館,新竹,新竹縣橫山鄉內灣村中山街2段51號之1,無,無
22,峨眉湖、十二寮、獅山遊客中心自行車道,新竹,新竹縣峨眉鄉,無,開放空間
23,尖石TAPUNG古堡(李崠隘勇監督所),新竹,新竹縣尖石鄉玉峰村7鄰馬美部落,無,無
24,蓮華寺,新竹,新竹縣竹北市十興里10鄰39號,03-550-1342,無
25,大霸尖山,新竹,新竹縣尖石鄉嘉樂村2鄰36號,無,無
26,鄧南光影像紀念館,新竹,新竹縣北埔鄉公園街15號,0963-335566/ 03-580-2868,週一休館
27,小米裝飾藝術品,新竹,新竹縣尖石鄉義興村2鄰尖石53號,0988-556410,無
28,竹東中央市場 ,新竹,新竹縣竹東鎮東林路88號,無,無
29,新瓦屋客家文化保存區,新竹,新竹縣竹北市文興路一段123號,03-658-0651#603,09:00-12:00、13:00-17:00週一、國定假日、民俗節日
30,清泉溫泉,新竹,新竹縣五峰鄉桃山村清泉254-1號,無,無
31,竹東火車站,新竹,新竹縣竹東鎮雞林里東林路196號,無,無
32,麥客田園休閒農場 ,新竹, 新竹縣北埔鄉南埔村二鄰13號之3,03-580-5678,09:00~17:00，假日延長到18:00
33,久久養生蕃茄館 ,新竹,新竹縣芎林鄉石潭村富林路2段202號,03-550-8542/0935-034122,08:00~17:00，全年無休 
34,寶山高爾夫球場,新竹,新竹縣寶山鄉深井村9鄰寶新路676號,03-576-2200, 05:00–天黑
35,峨眉湖風景區,新竹,新竹縣峨眉鄉峨眉村8鄰8號,無,無
36,立益高爾夫球場,新竹,新竹縣關西鎮東山里湖肚55號,03-587-5111,天氣明亮–14:00
37,竹北體育館,新竹,新竹縣竹北市光明六路東一段2號,無,無
38,佛有緣紅龍果觀光果園,新竹,新竹縣竹北市長青路2段203巷6號,03-556-2825,去電洽詢
39,西瓜莊園文化教育園區,新竹,新竹縣北埔鄉水村六鄰32號之10,03-580-2000,周一至周五請先預約（10人以上開園)
40,孤輪歐多拜,新竹,新竹縣竹北市復興三路二段229號,無,無
41,名冠藝術館,新竹,新竹縣竹東鎮忠孝街95號(長春路Toyota旁巷道，美之城社區),03-595-4719,每週二休館
42,關西天主堂,新竹,新竹縣關西鎮正義路126號,03-587-2104,無
43,西瓜莊園,新竹,新竹縣北埔鄉水?村六鄰32號之10,03-580-2000,10:30 - 18:30  周二公休
44,關西鎮農會仙草加工廠,新竹,新竹縣關西鎮北山里高橋坑6號,03-587-4277/03-587-1999,星期一~五AM08:00-PM17:00
45,風動、靜海、絃歌,新竹,新竹縣竹北市鳳岡路3段200號,無,無
46,玖龍宮,新竹,新竹縣寶山鄉寶新路二段56巷80號,03-520-0090,無
47,富林農場,新竹,新竹縣芎林鄉富林路二段559號,03-592-1279,無
48,竹北光明商圈,新竹,新竹縣竹北市光明一路,03-551-5919,無
49,修女廟,新竹,新竹縣寶山鄉新城村寶新路二段旁,無,無
50,大旭谷蘭花農場,新竹,新竹縣關西鎮石光里22-5號,03-586-8528/0939-130150 ,去電洽詢
51,宵里溪自行車道,新竹,新竹縣新埔鎮,無,開放空間
52,金漢柿餅、箭竹窩林家果園、竹嵐園》新埔大坪社區農村再生之旅1,新竹,新竹縣新埔鎮旱坑里11鄰27號,03-589-2680,０９：００～１８：００、全年無休
53,水月灣仙境,新竹,新竹縣橫山鄉內灣村9鄰大同路99號,03-535-8430,10：00-18：00，週一公休
54,樹杞林文化館,新竹,新竹縣竹東鎮新生路377號,03-596-6177#203/ 03-594-0923,09:00--17:00週一、週二、國定假日
55,永寧宮,新竹,新竹縣新豐鄉永寧街22號,03-559-5680,無
56,竹嵐園,新竹,新竹縣新埔鎮照門里4鄰箭竹窩20-1號,03-589-0460/0937-151-090,平日預約開放，假日 07:00-20:001 (DIY活動請事先預約) 
57,漫畫藝文廣場,新竹,新竹縣新埔鎮新民里13鄰民生街51號,無,無
58,Wow，好好吃的柿糬！,新竹,新竹縣新埔鎮中正路 582 號,03-588-2002,無
59,二寮神木,新竹,新竹縣北埔鄉中山路20號,無,無
60,光陰的故事,新竹,新竹縣竹北市光明六路72號,無,無
61,深井村茶花園區,新竹,新竹縣寶山鄉雙溪村四鄰雙園路二段,03-520-0090,無
62,仁和步道,新竹,新竹縣湖口鄉湖口老街278號,無,無
63,三聖宮,新竹,新竹縣新埔鎮五埔里三聖路488號,03-588-2153,無
64,石牛山步道,新竹,新竹縣關西鎮石服宮,無,無
65,照門步道群–懷祖步道,新竹,新竹縣新埔鎮照門里箭竹窩,無,無
66,五指山風景區,新竹,新竹縣北埔鄉中山路20號,無,無
67,燭園蠟藝館,新竹,新竹縣寶山鄉寶新路三段112 巷5 號,03-576-2670,09:00-16:00，週一休館
68,紙寮窩造紙工坊,新竹,新竹縣芎林鄉文林村10鄰紙寮窩10-3號,03-592-2147,每周六日09:00~12:00，13:00~17:00
69,竹東頭重並禁、示禁二碑,新竹,新竹縣竹東鎮竹中路104巷14號(竹中國小內),無,無
70,谷燕瀑布,新竹,新竹縣五峰鄉和平部落,無,無
71,白蘭休閒農業區,新竹,新竹縣五峰鄉122縣道南行至五峰花園,無,無
72,花花世界玩布工坊,新竹,新竹縣竹東鎮三民街6 號,0932-303-402,請預約
73,溝貝窯工作室,新竹,新竹縣竹北市聯興里新興路328 巷165 號,03-555-4735,須預約
