rid,rating
1,無
2,4.3
3,無
4,4.0
5,4.0
6,4.4
7,3.8
8,4.4
9,9.8/10
10,4.4
11,3.6
12,3.4
13,4.5
14,3.6
15,3.7
16,4.0
17,4.5
18,4.1
19,4.8
20,無
21,4.1
22,3.9
23,4.3
24,
25,無
26,4.0
27,無
28,4.1
29,4.2
30,4.0
31,4.1
32,4.1
33,4.0
34,3.9
35,4.0
36,4.4
37,4.2
38,5.0
39,4.2
40,無
41,4.2
42,4.3
43,4.2
44,4.1
45,無
46,4.1
47,5.0
48,4.3
49,無
50,4.5
51,3.3
52,無
53,3.0
54,4.0
55,3.7
56,3.3
57,2.6
58,無
59,3.9
60,無
61,3.8
62,4.1
63,
64,無
65,3.3
66,4.4
67,4.0
68,4.2
69,5.0
70,4.0
71,無
72,4.5
73,3.7
74,4.2
75,5.0
76,無
77,無
78,無
79,5.0
80,4.4
81,3.9
82,3.8
83,4.3
84,3.9
85,4.1
86,4.1
87,4.1
88,4.2
89,4.4
90,3.9
91,4.3
92,
93,5.0
94,4.8
95,無
96,無
97,無
98,4.3
99,4.5
100,4.7
101,4.0
102,4.2
103,4.3
104,4.4
105,4.5
106,4.4
107,無
108,4.3
109,4.0
110,4.6
111,4.4
112,4.3
113,無
114,4.2
115,5.0
116,4.0
117,4.6
118,4.8
119,4.2
120,4.5
121,3.4
122,4.1
123,4.4
124,3.9
125,3.9
126,無
127,4.4
128,4.7
129,3.9
130,4.6
131,無
132,4.5
133,4.2
134,3.8
135,4.2
136,4.0
137,無
138,4.6
139,4.1
140,4.0
141,4.4
142,4.2
143,4.2
144,無
145,3.7
146,4.3
147,4.0
148,4.9
149,4.1
150,無
151,4.0
152,5.0
153,3.8
154,無
155,3.8
156,4.4
157,無
158,4.0
159,3.9
160,4.1
161,4.0
162,3.6
163,4.3
164,3.8
165,4.0
166,3.5
167,
168,4.0
169,4.4
170,4.3
171,3.8
172,無
173,4.3
174,4.3
175,4.0
176,3.6
177,4.7
178,5.0
179,3.9
180,4.2
181,無
182,4.4
183,4.1
184,3.2
185,4.2
186,4.3
187,4.1
188,4.1
189,無
190,4.1
191,4.0
192,3.9
193,4.1
194,4.1
195,4.2
196,4.2
197,4.0
198,無
199,3.7
200,4.1
201,4.2
202,4.2
203,4.2
204,4.1
205,3.5
206,4.3
207,4.0
208,無
209,4.0
210,無
211,4.1
212,無
213,無
214,4.8
215,4.0
216,4.5
217,4.0
218,4.8
219,4.4
220,4.3
221,無
222,4.2
223,4.1
224,4.3
225,4.4
226,4.0
227,4.3
228,3.8
229,4.0
230,4.1
231,4.3
232,4.1
233,4.2
234,4.1
235,4.2
236,4.3
237,無
238,3.7
239,4.0
240,4.1
241,4.2
242,4.0
243,無
244,4.5
245,4.0
246,無
247,4.3
248,無
249,4.4
250,4.5
251,3.0
252,4.3
253,3.5
254,4.8
255,4.0
256,4.1
257,無
258,無
259,4.2
260,4.2
261,4.2
262,4.4
263,5.0
264,無
265,4.6
266,3.3
267,4.6
268,3.6
269,4.3
270,4.1
271,5.0
272,4.3
273,4.2
274,4.2
275,
276,4.1
277,無
278,無
279,無
280,4.2
281,4.1
282,無
283,無
284,4.2
285,3.6
286,無
287,3.6
288,無
289,4.3
290,4.1
291,無
292,4.0
293,4.7
294,4.4
295,4.3
296,4.1
297,4.5
298,4.1
299,4.4
300,4.3
301,4.3
302,無
303,5.0
304,4.3
305,4.3
306,4.1
307,4.0
308,5.0
309,
310,4.0
311,無
312,4.3
313,3.4
314,4.1
315,4.2
316,4.3
317,4.5
318,4.4
319,4.1
320,4.3
321,4.2
322,3.8
323,4.1
324,3.0
325,4.1
326,4.3
327,4.3
328,4.2
329,4.3
330,3.7
331,4.2
332,4.2
333,4.3
334,4.3
335,4.5
336,4.5
337,3.7
338,4.6
339,4.6
340,3.9
341,4.2
342,3.9
343,4.5
344,4.1
345,4.2
346,4.3
347,4.3
348,4.2
349,無
350,4.3
351,4.3
352,4.4
353,4.3
354,4.3
355,3.8
356,無
357,無
358,4.7
359,無
360,4.0
361,3.0
362,4.0
363,4.3
364,無
365,4.3
366,4.3
367,4.4
